,predictions
0,neutral
1,neutral
2,happy
3,happy
4,happy
5,neutral
6,calm
7,happy
8,calm
9,calm
10,calm
11,happy
12,happy
13,neutral
14,calm
15,neutral
16,happy
17,calm
18,angry
19,happy
20,happy
21,neutral
22,angry
23,neutral
24,happy
25,angry
26,happy
27,happy
28,happy
29,angry
30,happy
31,happy
32,angry
33,angry
34,angry
35,angry
36,calm
37,angry
38,neutral
39,happy
40,angry
41,calm
42,calm
43,angry
44,calm
45,happy
46,calm
47,calm
48,calm
49,calm
50,happy
51,happy
52,happy
53,angry
54,calm
55,angry
56,angry
57,calm
58,neutral
59,neutral
60,angry
61,angry
62,angry
63,calm
64,happy
65,angry
66,calm
67,neutral
68,happy
69,calm
70,happy
71,happy
72,angry
73,angry
74,angry
75,happy
76,neutral
77,calm
78,calm
79,calm
80,happy
81,happy
82,happy
83,angry
84,angry
85,angry
86,angry
87,happy
88,calm
89,calm
90,happy
91,angry
92,calm
93,happy
94,calm
95,angry
96,neutral
97,neutral
98,calm
99,neutral
100,happy
101,happy
102,calm
103,angry
104,neutral
105,calm
106,neutral
107,angry
108,calm
109,happy
110,neutral
111,calm
112,happy
113,neutral
114,happy
115,happy
116,angry
117,angry
118,happy
119,neutral
120,calm
121,angry
122,happy
123,calm
124,calm
125,calm
126,calm
127,happy
128,neutral
129,calm
130,neutral
131,angry
132,angry
133,happy
134,neutral
135,happy
136,angry
137,happy
138,angry
139,neutral
140,angry
141,calm
142,angry
143,calm
144,angry
145,angry
146,happy
147,happy
148,neutral
149,angry
150,happy
151,angry
152,calm
153,angry
154,happy
155,angry
156,happy
157,happy
158,angry
159,happy
160,angry
161,happy
162,happy
163,happy
164,angry
165,neutral
166,neutral
167,calm
